区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2149048F4ZZZ,【般】アジルサルタン口腔内崩壊錠１０ｍｇ,アジルサルタン,１０ｍｇ１錠,加算1,,18.2,,,,
内用薬,2149048F5ZZZ,【般】アジルサルタン口腔内崩壊錠２０ｍｇ,アジルサルタン,２０ｍｇ１錠,加算1,,27.4,,,,
内用薬,2149048F6ZZZ,【般】アジルサルタン口腔内崩壊錠４０ｍｇ,アジルサルタン,４０ｍｇ１錠,加算1,,40.9,,,,
内用薬,2149110F1ZZZ,【般】ロサルタン５０ｍｇ・ヒドロクロロチアジド配合錠,ロサルタンカリウム・ヒドロクロロチアジド,１錠,"加算1,2",,17.4,先発品はプレミネント配合錠ＬＤ／後発品はロサルヒド配合錠ＬＤ,,,
内用薬,2149110F2ZZZ,【般】ロサルタン１００ｍｇ・ヒドロクロロチアジド配合錠,ロサルタンカリウム・ヒドロクロロチアジド,１錠,"加算1,2",,23.6,先発品はプレミネント配合錠ＨＤ／後発品はロサルヒド配合錠ＨＤ,,,
内用薬,2149111F1ZZZ,【般】カンデサルタン４ｍｇ・ヒドロクロロチアジド配合錠,カンデサルタンシレキセチル・ヒドロクロロチアジド,１錠,"加算1,2",,12.9,先発品はエカード配合錠ＬＤ／後発品はカデチア配合錠ＬＤ,,,
内用薬,2149111F2ZZZ,【般】カンデサルタン８ｍｇ・ヒドロクロロチアジド配合錠,カンデサルタンシレキセチル・ヒドロクロロチアジド,１錠,"加算1,2",,23.8,先発品はエカード配合錠ＨＤ／後発品はカデチア配合錠ＨＤ,,,
内用薬,2149112F1ZZZ,【般】バルサルタン・ヒドロクロロチアジド６．２５ｍｇ配合錠,バルサルタン・ヒドロクロロチアジド,１錠,"加算1,2",,19.6,先発品はコディオ配合錠ＭＤ／後発品はバルヒディオ配合錠ＭＤ,,,
内用薬,2149112F2ZZZ,【般】バルサルタン・ヒドロクロロチアジド１２．５ｍｇ配合錠,バルサルタン・ヒドロクロロチアジド,１錠,"加算1,2",,20.8,先発品はコディオ配合錠ＥＸ／後発品はバルヒディオ配合錠ＥＸ,,,
内用薬,2149113F1ZZZ,【般】テルミサルタン４０ｍｇ・ヒドロクロロチアジド配合錠,テルミサルタン・ヒドロクロロチアジド,１錠,"加算1,2",,10.4,先発品はミコンビ配合錠ＡＰ／後発品はテルチア配合錠ＡＰ,,,
内用薬,2149113F2ZZZ,【般】テルミサルタン８０ｍｇ・ヒドロクロロチアジド配合錠,テルミサルタン・ヒドロクロロチアジド,１錠,"加算1,2",,11.6,先発品はミコンビ配合錠ＢＰ／後発品はテルチア配合錠ＢＰ,,,
内用薬,2149114F1ZZZ,【般】バルサルタン・アムロジピン配合錠,バルサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,11.8,先発品はエックスフォージ配合錠／後発品はアムバロ配合錠,,,
内用薬,2149114F2ZZZ,【般】バルサルタン・アムロジピン配合口腔内崩壊錠,バルサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,11.8,先発品はエックスフォージ配合ＯＤ錠／後発品はアムバロ配合ＯＤ錠,,,
内用薬,2149116F1ZZZ,【般】カンデサルタン・アムロジピン２．５ｍｇ配合錠,カンデサルタンシレキセチル・アムロジピンベシル酸塩,１錠,"加算1,2",,21,先発品はユニシア配合錠ＬＤ／後発品はカムシア配合錠ＬＤ,,,
内用薬,2149116F2ZZZ,【般】カンデサルタン・アムロジピン５ｍｇ配合錠,カンデサルタンシレキセチル・アムロジピンベシル酸塩,１錠,"加算1,2",,21,先発品はユニシア配合錠ＨＤ／後発品はカムシア配合錠ＨＤ,,,
